timestamp,review_queue_rows,shortlist_rows,feedback_rows,handoff_bundle_count
2026-03-15T06:13:09.316658+00:00,2,1,1,1
2026-03-15T06:13:09.689086+00:00,2,1,1,1
2026-03-15T06:13:14.788534+00:00,2,1,1,1
2026-03-15T06:13:15.143917+00:00,2,1,1,1
2026-03-15T06:13:37.884867+00:00,2,1,1,1
2026-03-15T06:13:38.474455+00:00,2,1,1,1
2026-03-15T06:15:09.618554+00:00,2,1,1,1
2026-03-15T06:15:09.677452+00:00,2,1,1,1
2026-03-16T20:55:33.790260+00:00,2,1,1,1
2026-03-16T20:55:34.422983+00:00,2,1,1,1
2026-03-16T20:57:14.928408+00:00,2,1,1,1
2026-03-16T20:57:15.332345+00:00,2,1,1,1
2026-03-16T20:57:24.045513+00:00,2,1,1,1
2026-03-16T20:57:24.341351+00:00,2,1,1,1
2026-03-16T20:58:17.939673+00:00,2,1,1,1
2026-03-16T20:58:18.409419+00:00,2,1,1,1
2026-03-16T20:58:30.539253+00:00,2,1,1,1
2026-03-16T20:58:31.270453+00:00,2,1,1,1
2026-03-16T20:59:27.308478+00:00,2,1,1,1
2026-03-16T20:59:27.944669+00:00,2,1,1,1
2026-03-16T20:59:42.304363+00:00,2,1,1,1
2026-03-16T20:59:42.890498+00:00,2,1,1,1
2026-03-16T21:00:38.722616+00:00,2,1,1,1
2026-03-16T21:00:39.384899+00:00,2,1,1,1
2026-03-16T21:00:52.915238+00:00,2,1,1,1
2026-03-16T21:00:53.500819+00:00,2,1,1,1
2026-03-21T15:16:26.577043+00:00,2,1,1,1
2026-03-21T15:16:27.005902+00:00,2,1,1,1
2026-03-21T15:16:51.186751+00:00,2,1,1,1
2026-03-21T15:16:51.561773+00:00,2,1,1,1
2026-03-21T18:08:13.540515+00:00,2,1,1,1
2026-03-21T18:08:13.997228+00:00,2,1,1,1
2026-03-21T18:08:24.609267+00:00,2,1,1,1
2026-03-21T18:08:24.917105+00:00,2,1,1,1
2026-03-21T18:18:00.029925+00:00,2,1,1,1
2026-03-21T18:18:00.369862+00:00,2,1,1,1
2026-03-21T18:18:16.480208+00:00,2,1,1,1
2026-03-21T18:18:16.808657+00:00,2,1,1,1
